Subtopic,Problem Title,Company Name,Platform/Link
Matrix & Grids,Maximize sum of matrix after K operations,"TCS, Accenture",https://practice.geeksforgeeks.org/
Matrix & Grids,Path with maximum gold,"Infosys, Wipro",https://leetcode.com/problems/path-with-maximum-gold/
Matrix & Grids,Minimum operations to make matrix elements equal,"Capgemini, Deloitte",https://practice.geeksforgeeks.org/
Matrix & Grids,Set Matrix Zeroes (Greedy approach),"TCS, HCL",https://leetcode.com/problems/set-matrix-zeroes/
Matrix & Grids,Search a 2D Matrix (Greedy traversal),"Accenture, Wipro",https://leetcode.com/problems/search-a-2d-matrix/
Matrix & Grids,Minimum Cost Path (Greedy heuristic),"Infosys, Capgemini",https://practice.geeksforgeeks.org/
Matrix & Grids,Collecting Coins in a Grid,"TCS, Deloitte",https://practice.geeksforgeeks.org/
Matrix & Grids,Maximum path sum in matrix,"Genpact, Wipro",https://practice.geeksforgeeks.org/
Matrix & Grids,Rotten Oranges (BFS with Greedy selection),"TCS, Accenture",https://leetcode.com/problems/rotting-oranges/
Matrix & Grids,Number of Islands (Greedy expansion),"Infosys, HCL",https://leetcode.com/problems/number-of-islands/
Two Pointers & Greedy,Container With Most Water,"TCS, Wipro",https://leetcode.com/problems/container-with-most-water/
Two Pointers & Greedy,Trapping Rain Water,"Infosys, Capgemini",https://leetcode.com/problems/trapping-rain-water/
Two Pointers & Greedy,3Sum (Greedy logic with sorting),"Accenture, Deloitte",https://leetcode.com/problems/3sum/
Two Pointers & Greedy,Two Sum II - Input array is sorted,"Genpact, TCS",https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
Two Pointers & Greedy,Sort Colors (Dutch National Flag),"Wipro, Infosys",https://leetcode.com/problems/sort-colors/
Two Pointers & Greedy,Move Zeroes,"TCS, HCL",https://leetcode.com/problems/move-zeroes/
Two Pointers & Greedy,Reverse String (Greedy swapping),"Accenture, Capgemini",https://leetcode.com/problems/reverse-string/
Two Pointers & Greedy,Valid Palindrome II (Greedy character deletion),"Deloitte, Wipro",https://leetcode.com/problems/valid-palindrome-ii/
Two Pointers & Greedy,Remove Duplicates from Sorted Array,"TCS, Genpact",https://leetcode.com/problems/remove-duplicates-from-sorted-array/
Two Pointers & Greedy,Intersection of Two Arrays,"Infosys, Accenture",https://leetcode.com/problems/intersection-of-two-arrays/
Tree & Graph Greedy Applications,Minimum Depth of Binary Tree,"TCS, Wipro",https://leetcode.com/problems/minimum-depth-of-binary-tree/
